,Symbol,Security,GICS Sector,GICS Sub-Industry,MarketCap
39,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",3749474205696.0
318,MSFT,Microsoft,Information Technology,Systems Software,3251942195200.0
348,NVDA,Nvidia,Information Technology,Semiconductors,3157005959168.0
22,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2318768013312.0
20,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2316635471872.0
19,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2315266293760.0
312,META,Meta Platforms,Communication Services,Interactive Media & Services,1507600236544.0
443,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,1412843700224.0
72,AVGO,Broadcom,Information Technology,Semiconductors,1044435107840.0
483,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,751523659776.0
289,LLY,Lilly (Eli),Health Care,Pharmaceuticals,687527034880.0
268,JPM,JPMorgan Chase,Financials,Diversified Banks,648461484032.0
476,V,Visa Inc.,Financials,Transaction & Payment Processing Services,599792484352.0
305,MA,Mastercard,Financials,Transaction & Payment Processing Services,477134422016.0
187,XOM,ExxonMobil,Energy,Integrated Oil & Gas,467633176576.0
357,ORCL,Oracle Corporation,Information Technology,Application Software,462533263360.0
465,UNH,UnitedHealth Group,Health Care,Managed Health Care,459543937024.0
130,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,428288606208.0
380,PG,Procter & Gamble,Consumer Staples,Personal Care Products,398213709824.0
234,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,390856540160.0
